File,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\ASMClassLoader.java,com.alibaba.fastjson.util.ASMClassLoader,0.0,0.0,6.0,1.0,0.14285715,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\JSONSerializerMap.java,com.alibaba.fastjson.serializer.JSONSerializerMap,1.0,0.0,0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\TypeCollector.java,com.alibaba.fastjson.asm.TypeCollector,0.0,-1.0,11.0,8.0,0.42105263,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\JSONAwareSerializer.java,com.alibaba.fastjson.serializer.JSONAwareSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\ByteBufferCodec.java,com.alibaba.fastjson.serializer.ByteBufferCodec,0.0,-1.0,3.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\SerializeWriter.java,com.alibaba.fastjson.serializer.SerializeWriter,0.0,0.0,323.0,631.0,0.6614256,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\geo\LineString.java,com.alibaba.fastjson.support.geo.LineString,0.0,0.0,0.0,2.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\ParseContext.java,com.alibaba.fastjson.parser.ParseContext,0.0,-1.0,0.0,9.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\ParserConfig.java,com.alibaba.fastjson.parser.ParserConfig,0.0,-1.0,287.0,84.0,0.2264151,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\ASMDeserializerFactory.java,com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory,0.0,-1.0,1184.0,148.0,0.11111111,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\config\FastJsonConfig.java,com.alibaba.fastjson.support.config.FastJsonConfig,0.0,-1.0,2.0,20.0,0.90909094,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\AntiCollisionHashMap.java,com.alibaba.fastjson.util.AntiCollisionHashMap$Values,0.0,0.0,1.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\moneta\MonetaCodec.java,com.alibaba.fastjson.support.moneta.MonetaCodec,0.0,-1.0,8.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\EnumCreatorDeserializer.java,com.alibaba.fastjson.parser.deserializer.EnumCreatorDeserializer,0.0,-1.0,0.0,1.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\GenericArrayTypeImpl.java,com.alibaba.fastjson.util.GenericArrayTypeImpl,0.0,-1.0,2.0,2.0,0.5,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\FieldSerializer.java,com.alibaba.fastjson.serializer.FieldSerializer,0.0,-1.0,78.0,31.0,0.28440368,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\MapDeserializer.java,com.alibaba.fastjson.parser.deserializer.MapDeserializer,0.0,0.11111111,120.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\NumberDeserializer.java,com.alibaba.fastjson.parser.deserializer.NumberDeserializer,0.0,-1.0,40.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\Labels.java,com.alibaba.fastjson.serializer.Labels,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\SerializeBeanInfo.java,com.alibaba.fastjson.serializer.SerializeBeanInfo,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\Item.java,com.alibaba.fastjson.asm.Item,0.0,-1.0,0.0,16.0,1.0,-1.0
